title,directions
Out Of This World Cake,"Cream butter and sugar; add eggs, one at a time, beating thoroughly., Add vanilla., Add graham cracker crumbs and baking powder together and add alternately with milk to the first mixture. Mix well, then add crushed pineapple (undrained) coconut and pecans., Bake at 350° for 1 hour in tube pan., Dust with confectioners sugar."
Meat Roll A La Kiev,"Rinse a long slice of meat and pat dry., Pound it lightly with a mallet; salt and pepper it., Put on it slices of salt pork or bacon and hard-boiled eggs cut into quarters., Roll meat up and dredge in flour., Fry, add some beef stock and bake in oven until done at 350°., Just before the meat is done, add minced garlic. Serve with potatoes and vegetables."
"""Arni Psito"" - Roast Leg Of Lamb","Preheat oven for 15 minutes to 350°., Trim fat from leg of lamb; rub it with juice from half lemon, then with 3 tablespoons salt on all sides."
Robert Redford Dessert,"In medium pan, mix flour and butter with pastry blender., Stir in walnuts and press mixture into bottom of a 13 x 9-inch pan. Bake for 20 minutes at 325° or until lightly browned. Remove from oven and cool."
Hamburger Casserole,"Brown hamburger and season; drain., Add tomato sauce to hamburger., Spread biscuits across the bottom of casserole dish. Spread a layer of hamburger, then a layer of cheese., Top with remaining biscuits., Bake until biscuits are done at 350°."
Potato Soup,"Slice carrots, onion, celery, and potatoes., Boil until tender. Cube ham and add to vegetables., Add 1 can evaporated milk., Slowly add Potato Buds to thicken., Add butter, salt and pepper to taste."
Stir-Fried Beef And Broccoli,"Cut steak across grain on a slight diagonal into thin strips. In a medium bowl, combine sherry, soy sauce, garlic and ginger. Add beef slices and toss to coat."
Popovers(Portuguese)  ,"Beat together ingredients with rotary beater just until smooth., Pour into well-greased deep muffin cup (3/4 full) or oven glass cups (1/2 full). Bake at 425° for 35 to 45 minutes."
Batter For Fried Shrimp Or Onion Rings,"Sift dry ingredients., Add water and oil; beat until smooth. Fold in egg white just before frying., Coat fan-tail shrimp or onion rings and fry in deep fat until brown."
Meringue For Pies,"Dissolve cornstarch in cold water and add boiling water. Slowly bring to boil, stirring constantly., This goes fast as there is little liquid involved., Put aside to cool., Beat egg whites until frothy., On high speed, gradually add sugar and salt until peaks form., Add vanilla., Switch to low speed., Gradually add cooled cornstarch mixture., Turn to high speed., Beat well until peaks stand when beater is withdrawn., Pile on pie filling. Bake at 375° until lightly browned."
Hermits,"Cream sugar and shortening well., Add eggs, mix well., Add cold coffee., Sift flour, salt, nutmeg, cinnamon and soda together., Add to creamed ingredients., Mix well., Add nuts and raisins., Place 1 teaspoon of dough for each cookie on cookie sheet., Bake at 350° for about 10 minutes or lightly brown., Do not overcook."
Tortilla Casserole,"Brown meat; drain, then add chili., Warm thoroughly."
Fruit Cobbler,"Melt butter in pan., Mix 1 cup sugar, flour and milk into batter., Pour into butter but do not mix., Combine berries, 1/2 cup sugar and 1/2 cup juice and pour over batter., Do not mix. Bake at 325° for one hour., Serve warm or cool."
Sister Mary'S Chicken Pot Pie,"Combine first 6 ingredients and spoon into prepared pie crust. Cover with top crust., Crimp edges to seal., Slit top crust and brush with egg, if desired., Bake at 375° for 40 to 50 minutes. Cool 10 minutes."
Dump Cake,"Grease 9 x 13-inch pan., Put pineapple (juice and all) on bottom of pan., Spread pie filling next., Take dry cake mix and sprinkle on top of pie filling., Sprinkle on nuts., Cut butter into small, thin pats and lay on top., Bake for 45 to 50 minutes or until golden brown at 350°."
Baked Beans,"Mix all ingredients together in a bowl; then place in a 13-inch cake pan., Cut 4 or 5 slices bacon in half and place on top of bean mixture., Bake in a 350° oven for 45 minutes to 1 hour."
Creamy Potato Casserole,"Clean and boil potatoes whole with skins, leave firm, 15 minutes., Peel potatoes while still hot., Put in plastic bag. Seal and refrigerate overnight., Butter casserole; grate potatoes. Put grated potatoes in buttered casserole with salt and pepper to taste., Pour 1 3/4 cups heavy cream into casserole., Bake 1 hour at 350° uncovered."
Green Beans With Sour Cream,"In saucepan, melt 1 tablespoon butter., Stir in flour, salt, onion, pepper and lemon peel., Mix in water., Cook until thick. Stir in sour cream, then green beans., Fill crepes., Fold over. Mix cheese with 1 tablespoon melted butter and bread crumbs. Sprinkle over filled crepes., Place in broiler until cheese melts."
Pork Rib Roast With Pear-Thyme Sauce,"Make 20 small incisions all over the fatty side of the roast. Insert a slice of garlic in each slit. Season the meat all over with 2 tablespoons of the thyme leaves, 1 1/2 tablespoons of salt and 1 tablespoon of ground pepper. Cover and refrigerate overnight."
Zucchini Soup,"Boil the zucchini in the bouillon and water for 10-15 minutes until tender. If you used chunks instead of grating, put it through a blender at this point."
Sylvia'S Shepherd'S Pie,"Saute ground beef and onions together., Salt and pepper to taste., Add pinch of sage, 1 pinch of mustard., Cook until brown; drain and wash off., Peel diced boiled potatoes, then mash boil beans, corn and carrots separately., Cook squash until tender (drain)., In square 9 x 9-inch pan., Layer ground beef mixture, green beans, squash, corn, carrots, mashed potatoes., Cover with cheese., Bake at 325° until cheese is melted and browned."
Apricot Salad,"Combine pineapple and sugar in saucepan; bring to boil., Add gelatin, mixing thoroughly., Cool and congeal slightly., Add cream cheese; beat with electric mixer until well blended., Whip milk; fold into gelatin mixture., Pour into 13 x 9-inch baking dish., Refrigerate., Makes 15 servings."
Honey Citrus Chicken,"Place chicken skin side down in pan., Mix other ingredients and pour/brush over chicken., Cut orange in pieces and tuck around chicken., Bake, uncovered, for 30 minutes at 375°., Turn and cook another 30 minutes."
Chicken Ala King,"Put salted turkey in roaster., Pour over turkey 1 cup boiling water with 1 stick of melted margarine., Cover airtight with lid or tent made of heavy-duty Reynolds Wrap., Place in a 450° preheated oven., Bake for 1 hour., Do not open oven door., Leave in oven overnight, or until oven is cold., (I cook mine last thing before going to bed.), This time is for a 12-pound turkey., Add about 5 minutes per pound for larger turkey."
Red Velvet Pound Cake,"Cream Crisco and sugar; add eggs, one at a time., Sift flour and salt, then add to creamed mixture along with milk., Add vanilla and coloring., Bake 1 1/2 hours at 325° or until well done., Use favorite frosting."
Whole Wheat Bread,"Mix together water and yeast., Add other ingredients., Knead for 10 minutes., Shape, cover and let rise 1 hour in a warm place in a well-greased bowl., Punch down; place in greased loaf pan. Let rise 1 hour and bake 40 to 50 minutes at 375°."
Custard Sauce,"Combine beaten egg, salt and sugar. Gradually stir in milk; cook in a double boiler over hot water until mixture coats a spoon, stirring constantly. Add vanilla and chill."
Fresh Corn And Tomato Casserole,"Cut corn from cob, about 4 to 5 cups of corn., Melt butter or drippings in skillet; add corn and saute quickly for about 5 minutes., Add bacon and salt; arrange in buttered casserole in alternate layers with the sliced tomato., Place in oven at 350° for about 30 minutes or until corn is tender., Serve hot., Makes 5 to 6 servings."
Chocolate Pie,"Add filling to 2 3/4 cups of milk., Beat one minute at low speed with mixer or beater., Immediately pour into baked 8 or 9-inch pie shell., Chill at least one hour."
Sugar Cookies,"Blend until creamy., Chill., Form into balls., Roll in sugar and flatten., Bake at 350° for 12 to 15 minutes."
Spanish Rice,"Saute onion, green pepper, ground beef and rice in oil in a large skillet until beef is browned., Pour off excess fat. Add remaining ingredients and mix well., Bring to a boil., Cover and simmer 35 minutes, stirring once or so until rice is done., Makes 4 to 6 servings."
Chicken Casserole,"Wash and drain rice, then put in bottom of casserole., Pour soup and broth over it., Put in chicken and margarine., Bake, uncovered, at 350° for 1 1/2 hours., Use large square casserole."
Homemade Buns,"In a large bowl or pan, put flour., After placing the flour in the bowl, make a hole in the center of the flour., Put lukewarm water, sugar, Crisco, egg, yeast and salt in., Mix all ingredients together gradually (you may need to add more flour), until it becomes a large ball., Cover with a cloth and let rise until double in size., Form buns and place in long baking pans., Cover with a cloth and let rise again., Set oven temperature to 350° and bake for 20 to 25 minutes or until brown."
Nice Rice Casserole,"Cook rice., Place in 1 1/2-quart baking dish., Mix remaining ingredients in large bowl and layer on top of rice., Bake at 375° for 40 minutes until hot and bubbly., Makes 4 to 6 servings."
Egg Custard Pie,"Prepare pie crust in pie pan., Brush with slightly beaten egg whites., Combine eggs, sugar, salt and cornstarch., Add milk and vanilla; mix well., Pour into 2 pie crusts (placed on cookie sheets for support)., Sprinkle nutmeg on top., Bake in oven on 400° for 30 to 40 minutes or until knife inserted comes out clean., Cool; serve."
Wrap Overs,"Cut crescent rolls in small pieces., Roll around Little Smokies., Bake at 350° until light brown."
Creamy Dreamy Fudge,"Melt cheese and margarine together over low heat., Sift cocoa and powdered sugar; stir in cheese mixture, blending until smooth. Add vanilla and nuts., Spread into 8-inch square pan., Chill. Cut into squares., Freezes well."
Mexican Chicken,"Mix all ingredients together and pour over Doritos., Sprinkle with cheese on top and bake at 425° for 20 minutes or until cheese is melted."
Poke Sallet,"Pick greens while they are still young and tender if possible. Greens will be sweeter if they have been frosted on!, Pick what looks like twice as much as you think you need, because they shrink up., Wash the greens at least 4 or 5 times to remove all dirt. Remove any hard stems."
Blueberry Salad,Dissolve jello in hot water; add next 3 ingredients. Refrigerate until gelatin set.
Potato Casserole,Mix all ingredients together and put in a greased 9 x 13-inch pan.
Campanealle Noodle Salad,"Cook noodles according to package direction, rinse., In a large bowl combine noodles, onion, tomato, cucumber, yellow pepper and salt and pepper to taste., In a small mixing bowl mix mayonnaise, milk and sugar or equal to taste., Mix with noodles and vegetables and chill."
Winter Fruit Pizza,"Heat oven to 350°., Slice cookie dough as directed on package and arrange in bottom of 15 x 10 x 1-inch baking pan., Using floured fingers, press dough evenly into pan., Bake at 350° for 12 to 15 minutes or until golden brown., Cool completely."
Scalloped Tomatoes-Potatoes,"Place onions and margarine in a saucepan and cook until tender., Blend in the flour, seasoning, water, tomatoes and bouillon., Cook for 6 to 8 minutes or until thickened., Add potatoes and stir lightly to coat., Cook in a covered dish at 350° for 25 minutes or until potatoes are tender., Sprinkle cheese on top., Serve."
Forgiveness Pie,"Take one large field, half dozen children, 2 or 3 small dogs, a, pinch, of, brook, and some pebbles., Mix children and dogs well together, put them on the field, stirring constantly., Pour the brook over the pebbles., Sprinkle the field with flowers. Spread over, all, a, deep	blue, sky and bake in sun. When brown, set away to cool in bathtub."
Dirt Pudding,"Mix pudding and milk., Mix cream cheese, sugar and butter. Then combine all together with Cool Whip."
Butterscotch Pie,"In heavy skillet, brown the brown sugar, white sugar and butter., Mix together and brown., In separate bowl, mix egg yolks, milk and flour., Add milk gradually until smooth., Add mixture to sugar and butter in skillet., Stir until smooth and thick., Add vanilla., Pour in baked pie shell., Use egg whites for meringue."
Old-Fashioned Chocolate Cake,"Note:, Use devil's food or fudge cake mix."
Easy Macaroni Salad,"In a large bowl, stir together the first 6 ingredients until smooth., Add remaining ingredients; toss to coat well., Cover; chill., Makes 5 cups."
Oven Fried Zucchini,"Trim zucchini and cut into sticks about the size of French fries., Sprinkle with salt and pepper., Beat egg in water., Roll each zucchini stick in egg mixture, then in crumbs., Place on a wire rack while oven heats to 400°., Place baking sheets under the wire racks and spoon margarine over coated zucchini sticks., Bake 15 to 20 minutes, until tender and lightly browned., Serve immediately., Good with fish and sliced tomatoes., Serves 4. Makes about 26 sticks."
Maw Dee'S Pepper Steak,"Cut beef across grain into thin strips., Combine soy sauce, garlic and ginger; add beef., Toss and set aside., Heat oil in large pan or wok., Add beef and toss over high heat until browned. Taste meat., If not tender, cover and simmer for 30 to 40 minutes over low heat., Turn heat up and add vegetables., Toss until crisp, 10 minutes., Mix cornstarch with water., Add to pan; stir and cook until thickened., Add tomatoes and heat through., Serve over rice."
Oriental Chicken,"Spread jam over chicken in a casserole pan., Add Catalina salad dressing., Bake at 350° for 1 hour., Great with tossed salad and baked potato."
Pork Chop Casserole,"Brown chops and place in casserole dish., Add soup, water, celery and onion; pour over chops and bake, covered, for 45 minutes at 350°."
Rotel Dip,"Melt about half of the Velveeta cheese and a little over 1/2 can Ro-Tel green chilies and tomatoes., Serve with chips."
Meat Loaf,"Mix all ingredients, well., Bake, in, 350°, oven in 9 x 5-inch loaf pan for 1 1/2 hours., Top with ketchup and bake 10 minutes more."
Mushroom-Artichoke Casserole,"Cook mushrooms and onions in 4 tablespoons butter., Remove vegetables with slotted spoon., Put aside., Blend flour, salt (1/8 teaspoon) and dash of pepper into pan drippings., Add 3/4 cup water, milk, bouillon, lemon juice and nutmeg., Cook and stir until bubbly., Add all vegetables., Turn into 1-quart casserole. Combine bread crumbs and melted butter., Sprinkle around edge. Bake at 350° for 20 minutes., Makes 6 servings."
Amish Sugar Cookies,"Combine first 4 ingredients and beat well., Add eggs and beat again., Add remaining ingredients and mix well., Chill in refrigerator., Drop small balls of dough on ungreased cookie sheet (can be flattened slightly)., Bake in 350° oven for 10 to 12 minutes or until barely brown."
Turkey Noodle Bake,"Blend milk into can of cream of mushroom soup., Stir in beaten eggs., Add noodles, turkey, soft bread crumbs (1 1/2 slices), shredded sharp cheese (4 ounces), green pepper, melted butter and chopped pimento., Turn into baking dish., Bake in 350° oven for 30 to 40 minutes or until knife inserted off center comes out clean. Cut in squares to serve., Makes 6 to 8 servings."
German Potato Salad,"Cook potatoes with skins on until tender, drain and cool. Peel and slice into 1/4-inch slices or desired size., Cut bacon into 1-inch pieces and fry until crisp but not burnt., Remove and drain bacon, saving 1/4 cup bacon drippings., Mix cornstarch and water together., Heat sugar, vinegar, bacon drippings, salt and pepper., Then add cornstarch mixture to thicken., Stir constantly. Pour hot mixture over potatoes, bacon and green onions., Mix and serve while hot."
Pink Glory Rice Salad,"Dissolve Jell-O in 1 1/2 cups hot water, stirring until dissolved., Add sugar and juice., Let set until slightly jelled. Add remaining ingredients and fold in Cool Whip., Refrigerate until firm."
Chicken Cacciatore,"Sprinkle chicken with salt and pepper., Heat oil in heavy skillet., Brown chicken on all sides., Push to side of pan; add onion, green pepper, garlic and mushrooms., Saute a few minutes. Mix tomato paste with remaining ingredients and pour over chicken; stir well., Cover and simmer gently until tender, about 30 minutes., Uncover and simmer until sauce is as thick as you like."
Sour Cream Pound Cake,"In a large bowl, combine sugar, butter, egg yolks, vanilla and lemon extract., Beat on low speed for 30 seconds., Beat on high speed for 2 minutes., Sift together flour, salt and baking soda. Add flour mixture to batter alternately with sour cream."
Chili Rellenos Bake,"Butter a 9 x 13-inch baking dish. Place a layer of chilies on the bottom. Sprinkle with 1 cup Monterey cheese and 1/4 cup green pepper. Repeat this layer., Mix the remaining ingredients except the Cheddar cheese and pour over the casserole., Top with the Cheddar cheese. Bake in a 350° oven for 45 to 50 minutes or until knife comes out clean., Cool 5 minutes before serving."
Summer Sausage,"Mix all ingredients together well with hands, then leave in bowl and refrigerate 24 hours., Make into 2-inch rolls and about 6 to 8 inches long., Wrap in foil, shiny side turned toward the meat. Slit bottom of foil in two places., Put on rack or cookie sheet and bake at 300° for 1 hour., Chill in refrigerator., Slice when ready to use., Nice for snacks."
Peanut Butter Bars,"Mix sugar, crumbs, peanut butter and butter until blended. Press into ungreased 13 x 9-inch baking pan, evenly., Pour melted chocolate over all., Chill for 2 hours., Have 20 minutes at room temperature before serving."
Eggplant Oysters,"Peel eggplant and cover with water; boil until tender., Drain and cool., Add egg and pepper and mix well., Add Bisquick mix. Drop mixture into deep hot fat (oil) until brown."
Cole Slaw Dressing,Blend well and refrigerate.
Veal Scallopini,"Cut veal into strips (two fingers wide)., Rinse strips to moisten., Dip in bread crumbs and brown (medium)., Pour off excess fat., Saute green onions and mushrooms until clear., Add browned meat, wine and Worcestershire; simmer until vegetables reach desired stage., Serve with rice., Serves 4 to 6."
Crusty Curried Chicken,"Heat oven to 425°., Wash chicken and pat dry., In oven, melt butter and shortening in baking pan., Mix Bisquick and seasonings in plastic bag., Shake 2 or 3 pieces at a time in bag to coat thoroughly., Place chicken skin side down in single layer in pan. Bake 40 minutes., Reduce oven temperature to 375°., Turn chicken; bake 20 minutes longer., Serves 6."
Frosting,"Sprinkle pudding mix over crushed pineapple., Stir until thick., Fold in Cool Whip., Spread between layers of cake."
Onion-Honey Sandwich,"Place the sliced onions in a bowl., Slowly bring the water and honey to a boil and pour over the onions., For a touch that will appeal to modern tastes, mix a cup of mayonnaise with 1 1/2 teaspoons sharp prepared mustard., Spread over the bread and top with the onions., Sprinkle the parsley over the onions., Add salt and pepper to taste."
Oil French Dressing,"Combine all ingredients in a bottle., Cover tightly and shake well., Chill and remove the garlic., Shake thoroughly before serving., Makes 1 1/3 to 1 1/2 cups."
Veggie Dip,Mix all the ingredients and chill. Serve with your favorite raw vegetables.
Sour Cream Pound Cake,"Cream the oleo and shortening together., Add sugar gradually and beat., Add eggs, one at a time, beating after each addition. Mix flour and soda together and add to other mixture alternately with sour cream., Add vanilla., Bake at 350° for 1 hour and 10 minutes in a large, greased and floured tube pan."
Mussels In White Wine Sauce,"Melt 1 tablespoon of the butter in large pot (big enough to hold mussels)., Add onion and parsley., Cook over medium heat until fragrant., Add garlic and wine., Cook about 1 minute., Add mussels and tomatoes., Cover and cook until mussels have opened (3 to 5 minutes)."
Baked Bean Salad,"Brown sausage and drain., Mix all ingredients together with sausage., Put into a large rectangular baking dish., Top with bacon strips., Bake 1 1/2 hours at 350°., Serves 12 to 15."
Pineapple Cookies,"Cream shortening and sugar., Add egg and beat., Sift the four dry ingredients., Add vanilla., Drop by teaspoonfuls 2-inches apart., Bake 12 minutes in 375° oven or until brown."
Bible Cookies,"Mix as for your favorite cookie., Drop by spoonfuls on greased cookie sheet., Bake 20 minutes at 350°., Use your favorite topping."
Best Ever Cornbread,"Combine all ingredients, mixing well and pour into greased 9-inch pie pan., Bake at 400° for 20 to 30 minutes."
Morgan'S Pecan Pie,"Combine corn syrup and sugar., Mix in salt, butter and vanilla., Add eggs and pecans., Place in an unbaked pie shell and then sprinkle more whole pecans over the top., Bake at 350° for 45 minutes."
Green Goddess Dressing,"Place mayonnaise in blender container., Add next six ingredients and blend on high speed until smooth., Add sour cream and blend on low speed until mixed., Makes about 1 1/2 cups."
Heavenly Hash,"Mix well the drained pineapple and Cool Whip. Add coconut, marshmallows and cherries to mixture., Add milk. Chill for 1 hour. Makes 6 servings."
Spiced Tea,"Mix all ingredients well., Use 2 to 3 teaspoons in a cup of boiling water."
Crock-Pot Dove,"Rub doves with salt and pepper., Brown in skillet with oil. Saute onion and celery with Worcestershire sauce for 3 minutes. Place doves in crock-pot., Pour sauce over., Add remaining ingredients., Cover and cook 10 hours on low heat."
Oatmeal Cookies,"Preheat oven to 375°., In large bowl, combine butter, brown sugar, eggs and water until creamy., Gradually add dry ingredients except oats and raisins., Add these last., Drop by rounded tablespoonfuls onto greased cookie sheet., Bake 10 to 12 minutes."
Spinach Quiche,"Blend eggs and cream until foamy., Combine with all other ingredients and pour into prebaked 9-inch pie shell., Bake at 350° for 1 hour., A knife should come out clean when testing."
Homemade Vanilla Ice Cream,"Mix milk, Eagle Brand, vanilla and salt in small mixing bowl. In large mixing bowl, beat eggs until light; add sugar gradually beating constantly., Beat in mixture from small bowl., Pour into freezer and freeze according to freezer directions."
Chicken Spaghetti,"Boil the hen with seasoning; remove meat from bones and cut in large pieces., Melt butter; saute onion, celery and garlic., Add tomatoes and tomato sauce;, continue to cook for 10 minutes., Cook spaghetti in chicken stock; add to the chicken mixture., Add mushrooms and the 2 cups of stock saved from cooking the hen. Cook about 30 minutes."
Chicken-N-Stuffing,"Prepare stuffing according to instructions on the package. Spread in glass baking dish, 7 1/2 x 11-inch., Save 1/4 cup of stuffing., Place chicken on stuffing and pour the chicken soup and broth over ingredients in dish., Bake in 350° oven for about 30 minutes or until heated through."
Applesauce Cake,"Cream shortening and gradually add sugar., Add the eggs and the flavoring; mix flour and all of the dry ingredients together., Add the dry ingredients to the shortening mixture., Add the applesauce. Add the raisins last., Finely chopped nuts may be added., Bake in 350° oven for 1 hour or 1 1/4 hours., Put in loaf pan 9 x 4 x 3-inch or a tube pan."
Strawberry Pie,"Boil sugar, cornstarch and water until thick., Add gelatin; mix thoroughly., Place fresh berries in pie shell., Pour gelatin mixture over strawberries., Chill until set., Top with whipped topping if desired."
Chocolate Eclair Cake,"Mix, pudding,, powdered, sugar	and, milk together with mixer, about, 2, minutes, at, low	speed.	Stir Cool Whip into pudding mixture, and set aside., Lightly grease bottom of a 13 x 9-inch pan, with oil., Line bottom of pan with whole graham crackers (sometimes	have, to, break apart to make fit)., Pour 1/2 pudding mixture over crackers, then add a layer of crackers, then, layer of	pudding., Finish with layer of crackers. Ice with chocolate icing and refrigerate."
Green Bean Casserole,"Crush crackers and stir with melted butter., Pat mixture in ungreased 8-inch square pan., Stir 4 tablespoons butter, flour, milk and Old English spread over low heat., Drain green beans and pour in pan of crushed crackers., Sprinkle remaining crumb mixture on top., Bake at 350° for 30 to 45 minutes."
Raisin Puffs,"In saucepan, boil water; add raisins., Boil until water is gone., Cool., Combine flour, soda and 1/2 teaspoon salt., Beat together sugar and margarine until combined., Add eggs and vanilla; beat well., Add dry ingredients to beaten mixture; beat until blended., Stir in raisins."
Creamed Cabbage,"Chop cabbage; boil in salted water until tender., Drain., Melt 6 tablespoons butter., Add flour; stir and add milk., Cook until sauce thickens., Layer cabbage in baking dish with sauce., Repeat layers., Cover with bread crumbs which have been mixed with 4 tablespoons butter., Bake at 350° for 30 minutes."
Artichoke Dip,"Separate artichokes and drain most of juice., Add mayonnaise and Parmesan cheese., Mix with beater until creamy as possible. Bake at 350° for about 15 minutes or until bubbly."
Japanese Fruit Pie,"Combine ingredients and pour into unbaked pie shell., Bake at 350° for 40 minutes."
Banana Split Pie,"Beat sugar, margarine, eggs and cream cheese until well blended., Spread over graham cracker crumbs., Layer bananas over filling., Next, layer pineapple., Spread Cool Whip over top to seal., Sprinkle with chopped nuts and cherries."
"""24 Hour Layered Salad""","Break up lettuce in bottom of container., Layer the 2 ribs of diced celery, chopped green pepper and diced red onion., Drain can of LeSueur peas and place on top of onion.	Next, the mayonnaise and Parmesan cheese., Crumble bacon on top and seal well in Saran Wrap., Refrigerate for 24 hours."
Sausage Rolls,"Mix all ingredients until moistened., Roll into small balls and bake on lightly greased baking pan at 450° for 10 minutes. Serve hot., These freeze well., If baking while frozen, allow longer baking time."
Mints,"Cream the sugar and cheese., Add flavoring and coloring., Mix until pie dough texture., Roll into small balls, then roll each ball in granulated sugar., Press into molds., Put on wax paper to set."
Uncle Charlie'S Drunkard'S Stew,"Brown meat in drippings or oil., Add remaining ingredients. Cook in oven at 350° for 2 to 3 hours or at 275° for 5 hours., Use the regular sherry, not cooking sherry, due to salt content."
Zucchini Bread,"Mix together eggs, sugar, squash, vanilla and oil., Add flour, salt, nuts, nutmeg, cinnamon, baking soda and baking powder. Grease and flour 2 bread loaf pans. Bake 1 hour at 325°."
Five Step Stew,Cook hamburger and onion together. Drain. Add everything together. Heat and serve.
Sweet Bread,"With hands, mix sugar, margarine, eggs, extracts and salt., Add yeast, dissolved in water., If eggs are light yellow, add 1/4 teaspoon yellow food coloring., Add powdered milk and the 2 cups of lukewarm water., Add flour a little at a time until sticky., Add raisins., Add flour until it stops sticking to fingers., Knead in rest of flour until dough is sponge texture., Let rise for 1 hour. Knead in more flour if necessary., Let rise until doubled., Place dough in greased bread pans, only enough pans that will fit in oven., Let rise 40 to 45 minutes., Place rest of dough in other pans after this time., When dough reaches top of pans, place in preheated 350° oven and bake 35 to 40 minutes., Makes 10 small loaves."
Brisket Barbecue,"Salt and pepper roast., Using a couple layers of heavy-duty aluminum foil, securely wrap the roast, pouring barbecue sauce over roast before sealing the foil., Bake at low heat (250° to 300°) for 3 to 4 hours."
Chocolate Fudge,"Combine sugar, cocoa, butter and milk., Mix completely., Cover until boiling point is reached., Boil to soft ball stage (234-238 degrees)., Add 1 tsp. vanilla., Cool without stirring until room temperature., Beat until mixture is creamy, thick and will hold it's shape when dropped from a spoon., Pour into buttered 8 inch pan and cool., Cut into squares."
Hawaiian Salad,"Cook macaroni and rinse., Cool., Add sugar, flour, eggs, fruit juices and salt in saucepan over medium heat until thickened., Stir in macaroni and refrigerate. Later, fold in fruit and Cool Whip."
Quick Cobbler,"Put fruit in bottom of a baking dish., Mix margarine, Bisquick, sugar and egg to make a lumpy dough consistency., Put on top of fruit., Bake at 350° to 375° until brown."
Burger Florentine,"About 40 minutes before serving prepare spinach as label directs; drain well., Toast English muffins; keep warm., Preheat broiler if manufacturer directs., Into bowl tear bread into small pieces; add spinach, ground beef, egg, salt and onion., Mix well. Shape mixture into four 1-inch thick round patties., Place patties on rack in broiling pan., Broil patties about 5 minutes on each side for medium or until of desired doneness., Just before patties are done, cut Mozzarella cheese into 4 slices., Top each meat patty with a cheese slice; broil 1 minute longer or until cheese melts., Serves 4."
Easy Banana Bread,"Beat eggs at medium speed with an electric mixer until thick and pale., Add cake mix and next three ingredients mixing well. Stir in bananas and walnuts., Pour batter into 2 greased 8 1/2 x 4 1/2 x 3-inch pans., Bake at 350° for 1 hour, or until a wooden pick inserted in center comes out clean., Cool in pans on wire rack 10 minutes., Remove from pans and cool completely on wire racks."
Spaghetti Casserole,Cook spaghetti. Mix egg and milk together in large bowl. Stir in spaghetti until the egg and milk are absorbed.
Cheesy Ham And Potato Chowder,"In a Dutch oven, bring water to a boil., Add salt and pepper. Add vegetables., Cover and simmer 10 minutes or until vegetables are done., Melt butter in saucepan., Blend in flour. Gradually stir in milk., Cook over medium heat, stirring constantly, until mixture boils., Boil for 1 minute., Add cheese and stir until melted. Slowly stir cheese mixture into vegetables., Add ham and stir well., Serves 6."
Hot Dog Relish,"Grind tomatoes, add salt and let stand overnight., Drain, add finely chopped or ground peppers, onions and cabbage., Combine sugar, vinegar and spice that have been tied in a bag., Add liquid to vegetables and simmer 30 minutes., Pack in hot jars and seal."
Ham Loaf(Microwave)  ,"Mix ground ham and, pork, with crumbs, water, onion and pepper., Mold into flat, loaf, in 9-inch pie plate., Microwave at Medium., Set temperature to 170° for 11 to 14 minutes."
Zesty Lamb Chili,"Brown lamb well in its own drippings in large, deep frying pan., As lamb browns, mix in onion, celery and green pepper, cooking over medium heat until onion is soft and lightly browned. Spoon off fat."
Rookie'S Quiche,"Mix together., Pour in 2 pie crusts., Bake 45 minutes in a 400° oven., Cool a few minutes and serve."
Sweet Potato Pie,"In large bowl, combine potatoes, milk, sugar, eggs, spices, salt and melted butter., Pour into unbaked pie shell and bake 15 minutes at 400°., Reduce heat to 325° and continue baking 25 minutes., Makes 2 pies., Top with whipping cream or Cool Whip."
Herbed Chicken,"Lightly season chicken with salt and pepper., Brown slowly in margarine in skillet., Place in shallow baking dish."
Punch,"Mix all ingredients in a 2-gallon container. Finish filling up with water. Add 2 bottles of ginger ale before serving. To get various colors, use cherry Kool-Aid for pink, lemon for yellow, lime for green and strawberry for red. Makes 2 1/2 gallons."
Vegetable Beef Soup,"Flour stew meat and brown in oil., In large pot on stove, put water, parsley, salt, and stew meat, cover and simmer one hour."
Squash Casserole,"Variation:, May add 1 small grated onion."
Christmas Salad,"Combine cranberries and sugar; let stand several hours, stirring occasionally., Dissolve gelatin in hot water, add ground orange, pineapple juice., When cool, add sugared cranberries, celery and nuts., Chill until set. Serve on salad greens with salad dressing or whipped cream."
Sour Cream Chicken Enchiladas,"Combine all ingredients., Save enough to spread over top of casserole., Fill each tortilla with mixture and roll., Spread top with leftover mixture., Bake at 350° for 45 minutes., Makes twelve 10-inch enchiladas, or more if tortillas are smaller., They freeze well, too."
Coleslaw,"Combine first five ingredients in a mixing bowl., Blend in salad dressing to moisten."
Norma Hill'S Far East Celery,"Precook celery slices in salted water until crisp-done; drain. Combine all ingredients in 1-quart casserole., Toss the soft bread crumbs with the toasted slivered almonds and melted butter; sprinkle over casserole., Bake in a 350° oven for 35 minutes, or until hot., Excellent!"
Black Forest Pie,"In bowl, mix at medium speed with electric mixer., Beat cream cheese until smooth; gradually blend in milk., Add pudding mix; beat at low speed for 1 minute, scraping bowl often., Beat at medium speed for 30 seconds., Spread into pie crust., Chill about 2 hours or until firm., Spoon on cherry pie filling and garnish with whipped topping and grated chocolate., Serve immediately."
